Entity,Code,Year,"Age-standardized deaths from trachea, bronchus, lung cancers in females in those aged all ages per 100,000 people","Age-standardized deaths from trachea, bronchus, lung cancers in males in those aged all ages per 100,000 people"
Albania,ALB,1987,5.954391,38.988247
Albania,ALB,1988,6.965476,41.26835
Albania,ALB,1989,4.419249,36.55955
Albania,ALB,1992,5.6806045,29.69816
Albania,ALB,1993,5.408665,27.435144
Albania,ALB,1994,5.5377283,23.647993
Albania,ALB,1995,6.2324433,36.644974
Albania,ALB,1996,8.2689905,39.11586
Albania,ALB,1997,8.125842,40.960163
Albania,ALB,1998,8.480316,39.859474
Albania,ALB,1999,8.404046,40.81356
Albania,ALB,2000,8.500012,39.08837
Albania,ALB,2001,6.681666,30.612045
Albania,ALB,2002,9.248648,34.004227
Albania,ALB,2003,9.507743,36.798355
Albania,ALB,2004,8.947639,32.131756
Albania,ALB,2005,6.3795466,28.65401
Albania,ALB,2006,7.2842226,28.07499
Albania,ALB,2007,5.446963,25.832552
Albania,ALB,2008,6.545613,29.82776
Albania,ALB,2009,6.8547764,27.84438
Albania,ALB,2010,0.51027375,19.261248
Antigua and Barbuda,ATG,1961,0,5.1776667
Antigua and Barbuda,ATG,1962,0,0
Antigua and Barbuda,ATG,1963,17.426111,14.917484
Antigua and Barbuda,ATG,1964,0,19.192858
Antigua and Barbuda,ATG,1966,7.707,11.05
Antigua and Barbuda,ATG,1969,3.723,14.892
Antigua and Barbuda,ATG,1970,0,23.326227
Antigua and Barbuda,ATG,1971,41.615906,31.776726
Antigua and Barbuda,ATG,1972,4.115709,25.958849
Antigua and Barbuda,ATG,1973,7.463054,1.9570354
Antigua and Barbuda,ATG,1974,4.1001854,4.25
Antigua and Barbuda,ATG,1975,3.5731559,13.26532
Antigua and Barbuda,ATG,1976,0,0
Antigua and Barbuda,ATG,1977,0,0
Antigua and Barbuda,ATG,1978,3.7972507,4.9831367
Antigua and Barbuda,ATG,1983,0,0
Antigua and Barbuda,ATG,1985,3.1890333,4.2826085
Antigua and Barbuda,ATG,1986,0,12.720964
Antigua and Barbuda,ATG,1987,0,8.288826
Antigua and Barbuda,ATG,1988,15.99009,18.135023
Antigua and Barbuda,ATG,1989,3.2224646,7.472531
Antigua and Barbuda,ATG,1990,3.753024,25.005857
Antigua and Barbuda,ATG,1991,3.8620331,5.419778
Antigua and Barbuda,ATG,1992,11.283651,24.3559
Antigua and Barbuda,ATG,1993,3.3164983,3.286334
Antigua and Barbuda,ATG,1994,0,11.312955
Antigua and Barbuda,ATG,1995,3.354143,21.330883
Antigua and Barbuda,ATG,1998,0,7.611731
Antigua and Barbuda,ATG,1999,7.3109803,17.955994
Antigua and Barbuda,ATG,2000,6.433025,7.5874586
Antigua and Barbuda,ATG,2001,2.9585006,2.909968
Antigua and Barbuda,ATG,2002,2.9704301,0
Antigua and Barbuda,ATG,2003,2.180723,14.018772
Antigua and Barbuda,ATG,2004,3.1072555,3.5702746
Antigua and Barbuda,ATG,2005,2.790404,8.774838
Antigua and Barbuda,ATG,2006,2.5200553,8.185732
Antigua and Barbuda,ATG,2007,6.592055,11.278914
Antigua and Barbuda,ATG,2008,4.584008,5.049387
Antigua and Barbuda,ATG,2009,3.852337,23.529945
Antigua and Barbuda,ATG,2010,6.4900155,8.488708
Antigua and Barbuda,ATG,2011,2.2770643,0
